RU;84;1576;TransparentCalls;0.88;377;66;44
US;64;1727;E-Voice;0.98;901;22;59
GB;7;1350;TransparentCalls;0.97;590;29;16
FR;68;1318;TransparentCalls;0.92;515;3;51
BL;48;497;E-Voice;0.63;511;33;22
AT;83;560;TransparentCalls;0.75;781;42;57
BG991579E-Voice;0.74;241;3;28
DK;24;1574;JustPhone;0.68;825;60;11
CA;0;236;JustPhone;0.99;104;16;19
ES;8;1847;E-Voice;0.74;665;43;17
CH;63;145;JustPhone;0.81;487;56;46
TR;44;1653;TransparentCalls;0.96;688;77;27
PE;64;409;JustPhone;0.77;801;59;46
NZ;36;865;JustPhone;0.99;637;74;40
MC;35;157;E-Voice;0.94;530;48;44
